"","MonitoringLocationIdentifier","OrganizationIdentifier.x","OrganizationFormalName.x","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityRelativeDepthName","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ProjectName","ActivityConductingOrganizationText","MonitoringLocationName.x","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","ActivityLocation.LatitudeMeasure","ActivityLocation.LongitudeMeasure","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionMethod.MethodDescriptionText","SampleCollectionEquipmentName","ResultIdentifier","ResultDetectionConditionText","MethodSpeciationName","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","DataQuality.PrecisionValue","DataQuality.BiasValue","DataQuality.ConfidenceIntervalValue","DataQuality.UpperConfidenceLimitValue","DataQuality.LowerConfidenceLimitValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","BinaryObjectFileName","BinaryObjectFileTypeCode","ResultFileUrl","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","ResultAnalyticalMethod.MethodUrl","ResultAnalyticalMethod.MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","ResultDetectionQuantitationLimitUrl","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","LabSamplePreparationUrl","LastUpdated","ProviderName.x","DateAsDate","OrganizationIdentifier.y","OrganizationFormalName.y","MonitoringLocationName.y","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure_MeasureValue","DrainageAreaMeasure_MeasureUnitCode","ContributingDrainageAreaMeasure_MeasureValue","ContributingDrainageAreaMeasure_MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure_MeasureValue","HorizontalAccuracyMeasure_MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure_MeasureValue","VerticalMeasure_MeasureUnitCode","VerticalAccuracyMeasure_MeasureValue","VerticalAccuracyMeasure_MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","LocalAqfrName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure_MeasureValue","WellDepthMeasure_MeasureUnitCode","WellHoleDepthMeasure_MeasureValue","WellHoleDepthMeasure_MeasureUnitCode","ProviderName.y"
"1","21ARIZ_WQX-SCSCR103.45","21ARIZ_WQX","Arizona Department Of Environmental Quality","21ARIZ_WQX-95850RW-swdb","Sample-Routine","Water","Surface Water","4/16/2012","9:30:00","MST",NA,NA,NA,NA,NA,"","",0,"m",0,"m","AMB","AMB","","SANTA CRUZ RIVER - AT SANTA GERTRUDIS LANE","",NA,"","",31.5611111,-111.0461111,"AZDEQ SOPs","21ARIZ_WQX","AZDEQ Standard Operating Procedures",NA,"Water Bottle","STORET-552182501","","","Escherichia coli","Total",27.9,"cfu/100ml",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"COLILERT","21ARIZ_WQX","COLILERT (EDBERG)",NA,"","Arizona Dept. Of Environmental Quality (Field)","","","","",NA,"",NA,"18:25.0","STORET","2012-04-16","21ARIZ_WQX","Arizona Department Of Environmental Quality","SANTA CRUZ RIVER - AT SANTA GERTRUDIS LANE","River/Stream","",15050301,NA,"",NA,NA,31.5611111,-111.0461111,0,NA,"","Interpolation-Map","NAD83",3250,"ft",NA,"","Other","NAVD88","US",4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"2","21ARIZ_WQX-SCSCR103.45","21ARIZ_WQX","Arizona Department Of Environmental Quality","21ARIZ_WQX-92798RW-swdb","Sample-Routine","Water","Surface Water","5/11/2011","16:00:00","MST",NA,NA,NA,NA,NA,"","",0,"m",0,"m","AMB","AMB","","SANTA CRUZ RIVER - AT SANTA GERTRUDIS LANE","",NA,"","",31.5611111,-111.0461111,"AZDEQ SOPs","21ARIZ_WQX","AZDEQ Standard Operating Procedures",NA,"Water Bottle","STORET-552320939","","","Escherichia coli","Total",143.9,"cfu/100ml",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"COLILERT","21ARIZ_WQX","COLILERT (EDBERG)",NA,"","Arizona Dept. Of Environmental Quality (Field)","","","","",NA,"",NA,"52:53.0","STORET","2011-05-11","21ARIZ_WQX","Arizona Department Of Environmental Quality","SANTA CRUZ RIVER - AT SANTA GERTRUDIS LANE","River/Stream","",15050301,NA,"",NA,NA,31.5611111,-111.0461111,0,NA,"","Interpolation-Map","NAD83",3250,"ft",NA,"","Other","NAVD88","US",4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"3","21ARIZ_WQX-SCSCR103.45","21ARIZ_WQX","Arizona Department Of Environmental Quality","21ARIZ_WQX-102734RW-swdb","Sample-Routine","Water","Surface Water","4/7/2015","9:30:00","MST",NA,NA,NA,NA,NA,"","",0,"m",0,"m","AMB","AMB","","SANTA CRUZ RIVER - AT SANTA GERTRUDIS LANE","",NA,"","",31.5611111,-111.0461111,"AZDEQ SOPs","21ARIZ_WQX","AZDEQ Standard Operating Procedures",NA,"Water Bottle","STORET-552235880","","","Escherichia coli","Total",13.2,"cfu/100ml",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"COLILERT","21ARIZ_WQX","COLILERT (EDBERG)",NA,"","Arizona Dept. Of Environmental Quality (Field)","","","","",NA,"",NA,"32:25.0","STORET","2015-04-07","21ARIZ_WQX","Arizona Department Of Environmental Quality","SANTA CRUZ RIVER - AT SANTA GERTRUDIS LANE","River/Stream","",15050301,NA,"",NA,NA,31.5611111,-111.0461111,0,NA,"","Interpolation-Map","NAD83",3250,"ft",NA,"","Other","NAVD88","US",4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"4","21ARIZ_WQX-SCSCR103.45","21ARIZ_WQX","Arizona Department Of Environmental Quality","21ARIZ_WQX-95850DW-swdb","Quality Control Sample-Field Replicate","Water","Surface Water","4/16/2012","9:30:00","MST",NA,NA,NA,NA,NA,"","",0,"m",0,"m","AMB","AMB","","SANTA CRUZ RIVER - AT SANTA GERTRUDIS LANE","",NA,"","",31.5611111,-111.0461111,"AZDEQ SOPs","21ARIZ_WQX","AZDEQ Standard Operating Procedures",NA,"Water Bottle","STORET-552182522","","","Escherichia coli","Total",17.3,"cfu/100ml",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"COLILERT","21ARIZ_WQX","COLILERT (EDBERG)",NA,"","Arizona Dept. Of Environmental Quality (Field)","","","","",NA,"",NA,"18:25.0","STORET","2012-04-16","21ARIZ_WQX","Arizona Department Of Environmental Quality","SANTA CRUZ RIVER - AT SANTA GERTRUDIS LANE","River/Stream","",15050301,NA,"",NA,NA,31.5611111,-111.0461111,0,NA,"","Interpolation-Map","NAD83",3250,"ft",NA,"","Other","NAVD88","US",4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"5","21ARIZ_WQX-SCSCR103.45","21ARIZ_WQX","Arizona Department Of Environmental Quality","21ARIZ_WQX-92648RW-swdb","Sample-Routine","Water","Surface Water","2/23/2011","13:00:00","MST",NA,NA,NA,NA,NA,"","",0,"m",0,"m","AMB","AMB","","SANTA CRUZ RIVER - AT SANTA GERTRUDIS LANE","",NA,"","",31.5611111,-111.0461111,"AZDEQ SOPs","21ARIZ_WQX","AZDEQ Standard Operating Procedures",NA,"Water Bottle","STORET-552351644","","","Escherichia coli","Total",13,"cfu/100ml",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,"COLILERT","21ARIZ_WQX","COLILERT (EDBERG)",NA,"","Arizona Dept. Of Environmental Quality (Field)","","","","",NA,"",NA,"59:00.0","STORET","2011-02-23","21ARIZ_WQX","Arizona Department Of Environmental Quality","SANTA CRUZ RIVER - AT SANTA GERTRUDIS LANE","River/Stream","",15050301,NA,"",NA,NA,31.5611111,-111.0461111,0,NA,"","Interpolation-Map","NAD83",3250,"ft",NA,"","Other","NAVD88","US",4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"6","AZDEQ_SW-143","AZDEQ_SW","AZDEQ_SW","AZDEQ_SW-AB36095.CHEM","Sample-Routine","Water","Surface Water","2/28/2022","8:30:00","MST",NA,NA,NA,NA,0,"m","",NA,"",NA,"","9839","2021 Friends of the Santa Cruz River","VOLUNTEER GROUPS","100243","FriendsSantaCruz We do not report stream conditions here.  We are just collecting e.coli data. baseflow
CJ3: no duplicate e coli, no pictures, incubator temp too high--- SAMPLE TAKEN: Yes; Normal Flow",NA,"","",31.6130556,-111.0413889,"Unknown","AZDEQ_SW","Unknown",NA,"Miscellaneous (Other)","STORET-941887083","","","Escherichia coli","Total",34.1,"MPN/100ml",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"incubator temp too high | QA FLAGS: A5.",NA,0,"ft",NA,NA,NA,NA,NA,NA,"COLILERT","AZDEQ_SW","COLILERT",NA,"","","","","","",NA,"",NA,"14:36.0","STORET","2022-02-28","AZDEQ_SW","AZDEQ_SW","100243","River/Stream","Station Description: SANTA CRUZ RIVER AT TUBAC BRIDGE Station Name: SANTA CRUZ RIVER - AT TUBAC BRIDGE",15050301,NA,"",NA,NA,31.6130556,-111.0413889,NA,NA,"","Unknown","UNKWN",NA,"",NA,"","","","US",4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"7","AZDEQ_SW-143","AZDEQ_SW","AZDEQ_SW","AZDEQ_SW-AB26305.CHEM","Sample-Routine","Water","Surface Water","7/29/2019","7:30:00","MST",NA,NA,NA,NA,0,"m","",NA,"",NA,"","9800","2019-Friends of Santa Cruz","VOLUNTEER GROUPS","100243","FriendsSantaCruz Conditions and collection best guess, entered by JL. baseflow--- SAMPLE TAKEN: Yes; Normal Flow",NA,"","",31.6130556,-111.0413889,"Unknown","AZDEQ_SW","Unknown",NA,"Miscellaneous (Other)","STORET-868446711","","","Escherichia coli","Total",866.4,"MPN/100ml",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"| QA FLAGS: EQ-EXC. Chronic Stringent Standard= 575 Designated Use: PBC.  Rejected data due to field blank contamination.",NA,0,"ft",NA,NA,NA,NA,NA,NA,"COLILERT","AZDEQ_SW","COLILERT",NA,"","","","","","",NA,"",NA,"53:42.0","STORET","2019-07-29","AZDEQ_SW","AZDEQ_SW","100243","River/Stream","Station Description: SANTA CRUZ RIVER AT TUBAC BRIDGE Station Name: SANTA CRUZ RIVER - AT TUBAC BRIDGE",15050301,NA,"",NA,NA,31.6130556,-111.0413889,NA,NA,"","Unknown","UNKWN",NA,"",NA,"","","","US",4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"8","AZDEQ_SW-143","AZDEQ_SW","AZDEQ_SW","AZDEQ_SW-AB26299.CHEM","Sample-Routine","Water","Surface Water","11/25/2019","8:47:00","MST",NA,NA,NA,NA,0,"m","",NA,"",NA,"","9800","2019-Friends of Santa Cruz","VOLUNTEER GROUPS","100243","FriendsSantaCruz Conditions and collection best guess, entered by JL. stormflow--- SAMPLE TAKEN: Yes; Storm Flow",NA,"","",31.6130556,-111.0413889,"Unknown","AZDEQ_SW","Unknown",NA,"Miscellaneous (Other)","STORET-868446680","","","Escherichia coli","Total",750,"MPN/100ml",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"| QA FLAGS: EQ-EXC. Chronic Stringent Standard= 575 Designated Use: PBC.  Rejected data due to field blank contamination.",NA,0,"ft",NA,NA,NA,NA,NA,NA,"COLILERT","AZDEQ_SW","COLILERT",NA,"","","","","","",NA,"",NA,"53:42.0","STORET","2019-11-25","AZDEQ_SW","AZDEQ_SW","100243","River/Stream","Station Description: SANTA CRUZ RIVER AT TUBAC BRIDGE Station Name: SANTA CRUZ RIVER - AT TUBAC BRIDGE",15050301,NA,"",NA,NA,31.6130556,-111.0413889,NA,NA,"","Unknown","UNKWN",NA,"",NA,"","","","US",4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"9","AZDEQ_SW-143","AZDEQ_SW","AZDEQ_SW","AZDEQ_SW-AB05185.CHEM","Sample-Routine","Water","Surface Water","8/21/2017","10:36:00","MST",NA,NA,NA,NA,0,"m","",NA,"",NA,"","9742","UAMAC SANTA CRUZ","UNIVERSITY OF ARIZONA - MARICOPA AGRICULTURAL CENTER","100243","Stormwater--- SAMPLE TAKEN: Yes; Normal Flow",NA,"","",31.6130556,-111.0413889,"Unknown","AZDEQ_SW","Unknown",NA,"Miscellaneous (Other)","STORET-854996481","","None","Escherichia coli","Total",686.7,"MPN/100ml",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0,"ft",NA,NA,NA,NA,NA,NA,"COLILERT","AZDEQ_SW","COLILERT",NA,"","","","","","",NA,"",NA,"13:03.0","STORET","2017-08-21","AZDEQ_SW","AZDEQ_SW","100243","River/Stream","Station Description: SANTA CRUZ RIVER AT TUBAC BRIDGE Station Name: SANTA CRUZ RIVER - AT TUBAC BRIDGE",15050301,NA,"",NA,NA,31.6130556,-111.0413889,NA,NA,"","Unknown","UNKWN",NA,"",NA,"","","","US",4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"10","AZDEQ_SW-143","AZDEQ_SW","AZDEQ_SW","AZDEQ_SW-AB26298.CHEM","Sample-Routine","Water","Surface Water","6/24/2019","7:24:00","MST",NA,NA,NA,NA,0,"m","",NA,"",NA,"","9800","2019-Friends of Santa Cruz","VOLUNTEER GROUPS","100243","FriendsSantaCruz Conditions and collection best guess, entered by JL. baseflow--- SAMPLE TAKEN: Yes; Normal Flow",NA,"","",31.6130556,-111.0413889,"Unknown","AZDEQ_SW","Unknown",NA,"Miscellaneous (Other)","STORET-868446686","","","Escherichia coli","Total",26.2,"MPN/100ml",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",NA,0,"ft",NA,NA,NA,NA,NA,NA,"COLILERT","AZDEQ_SW","COLILERT",NA,"","","","","","",NA,"",NA,"53:42.0","STORET","2019-06-24","AZDEQ_SW","AZDEQ_SW","100243","River/Stream","Station Description: SANTA CRUZ RIVER AT TUBAC BRIDGE Station Name: SANTA CRUZ RIVER - AT TUBAC BRIDGE",15050301,NA,"",NA,NA,31.6130556,-111.0413889,NA,NA,"","Unknown","UNKWN",NA,"",NA,"","","","US",4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
