"","Previous30Precip","Tmin..F.","Discharge_CFS","Stage","NinXTS","TOD","ACO_Numeric","DistFromSonoita","ecoli_235","ecoli_575"
"5",0,38,14,2,-1,1,9,18000,0,0
"6",0.2,34,18.6,4,-0.9,1,9,18000,0,0
"7",0.02,33,16.8,4,-1,1,9,18000,0,0
"8",3.18,69,23.9,4,-0.1,1,6,18000,1,1
"11",3.07,66,14.6,4,-0.8,1,9,18000,1,1
"12",4.91,69,86.8,4,-0.5,1,9,18000,1,1
"13",0.02,47,17.3,4,0.5,1,9,18000,0,0
"15",0,45,5.19,2,0.3,1,9,18000,0,0
"22",0,38,4.9,2,-0.6,4,4,13200,0,0
"23",1.65,20,23.1,4,-0.3,1,4,13200,1,1
"24",0,46,1.76,1,0.4,1,5,13200,0,0
"25",0,43,6.32,2,0.9,2,4,13200,0,0
"27",1.06,37,23.1,4,0.7,1,9,13200,0,0
"29",0.33,33,4.6,2,0.7,1,4,13200,0,0
"30",0.73,29,23.1,3,0.7,1,9,13200,1,1
"32",0.51,41,8.05,2,0.2,1,4,13200,0,0
"33",0.02,47,18.3,3,0.5,1,9,13200,1,0
"34",0.14,22,9.21,2,-0.7,1,5,13200,0,0
"35",1.65,20,23.1,4,-0.3,1,4,13200,1,1
"36",0.87,41,15.2,4,-0.2,1,5,13200,0,0
"37",0.16,38,5.58,2,1,1,2,13200,0,0
"38",2.64,67,45.2,3,-0.1,1,5,13200,1,1
"39",0.01,52,1.35,1,0.5,1,9,13200,0,0
"41",0,41,5.29,2,-0.7,1,4,13200,0,0
"42",0.55,31,5.11,2,-0.5,1,4,13200,0,0
"45",0.55,31,5.11,2,-0.5,1,4,13200,0,0
"46",0,37,14.4,2,-1,1,5,13200,0,0
"49",1.88,54,54.7,4,-0.7,1,9,13200,1,1
"50",0,41,5.29,2,-0.7,1,4,13200,0,0
"51",4.9,68,8.33,2,0.5,1,2,13200,1,0
"53",0,56,6.58,2,-0.7,2,4,13200,0,0
"54",0,27,12.9,2,-1.2,4,4,13200,0,0
"55",0.02,33,16.8,4,-1,1,9,13200,0,0
"56",0.2,34,18.6,4,-0.9,1,9,13200,0,0
"58",0,47,4.37,2,-0.5,2,7,13200,0,0
"60",1.27,42,26.5,4,0.4,1,9,13200,0,0
"61",0.74,58,13.8,2,0.4,1,2,13200,1,0
"63",5.98,59,26,4,2.2,1,5,13200,1,1
"64",0.42,31,13.1,2,2.1,1,5,13200,0,0
"65",0,45,5.19,2,0.3,1,9,13200,0,0
"66",0,43,6.32,2,0.9,2,4,13200,0,0
"67",0,38,14.1,2,-1,1,9,13200,0,0
"69",4.91,69,83.1,4,-0.5,1,9,13200,1,1
"71",5.09,67,118,4,-1.3,1,2,13200,1,1
"72",0.51,41,8.05,2,0.2,1,4,13200,0,0
"73",0,47,4.37,2,-0.5,2,7,13200,0,0
"74",0.4,39,1.35,1,0.3,1,5,13200,0,0
"75",0.55,68,0.52,1,1.2,1,5,13200,1,1
"76",3.54,68,14.9,4,0.2,1,5,13200,1,1
"77",3.79,32,14.7,4,1.5,1,2,13200,1,1
"78",3.07,66,14.6,4,-0.8,1,9,13200,1,1
"79",0.69,38,7.31,2,0.7,1,5,13200,0,0
"80",0,39,1.1,1,-1.1,2,1,14200,0,0
"81",5.42,67,9.06,2,-1.3,2,1,14200,1,1
"82",2.3,54,5.58,2,-1.6,2,1,14200,1,1
"83",0,50,0.92,1,-0.3,2,1,14200,0,0
"84",0.11,30,6.62,2,-0.7,2,1,14200,0,0
"85",2.1,72,7.5,2,0.6,2,1,14200,1,1
"86",0.16,49,4.28,2,1,2,1,14200,0,0
"87",0,35,10.1,2,-1.2,2,1,14200,0,0
"88",0,47,3.04,2,-0.6,2,1,14200,0,0
"89",4.01,67,1.2,1,-0.6,2,1,14200,0,0
"90",0.2,32,4.69,2,1.5,2,1,14200,0,0
"91",2.28,68,18.1,4,0.4,2,1,14200,1,1
"92",4.22,63,4.43,2,2.2,4,6,11700,1,1
"94",3.3,59,3.74,2,-0.9,4,9,13200,1,0
"95",0.86,23,22.9,3,0.5,4,9,13200,0,0
"97",1.85,32,34.3,4,0.5,4,9,13200,1,1
"98",1.27,23,27.3,4,0.5,1,9,13200,0,0
"99",0.02,39,19.7,3,-0.9,1,9,13200,0,0
"100",0.93,41,4.89,2,0.3,4,9,13200,0,0
"101",0.24,42,18.1,4,0.2,4,9,13200,0,0
"102",0.14,64,11.1,2,-0.3,4,9,13200,1,1
"103",0.8,43,23.3,3,0.2,4,9,13200,0,0
"104",0.86,60,4.57,2,-0.9,4,9,13200,0,0
"107",0.14,47,7.88,2,-0.3,4,9,13200,1,0
"109",0.2,26,24.8,3,-1,4,9,13200,0,0
"113",1.9,45,12.1,2,0.5,4,9,13200,1,1
"114",1.35,33,14.6,4,0.5,2,9,13200,0,0
"118",0.14,67,6.44,2,-0.3,4,9,13200,1,0
"119",1.55,38,30,4,0.5,4,9,13200,0,0
"123",0.02,29,20.5,4,-0.9,4,9,13200,0,0
"125",0.24,54,7.36,2,-0.1,4,9,13200,0,0
"126",0.24,47,9.76,2,-0.1,4,9,13200,0,0
"127",0,43,5.01,2,0.5,1,9,13200,0,0
"129",0.14,77,0.97,1,-0.3,4,9,13200,0,0
"130",0.71,32,25,4,-1,4,9,13200,0,0
"131",0,47,5.06,2,-0.5,1,7,1700,0,0
"133",0.01,52,1.35,1,0.5,1,9,1700,0,0
"135",5.98,59,27.2,4,2.2,1,5,1700,1,1
"136",3.79,32,13.8,2,1.5,1,2,1700,1,0
"137",2.64,67,45.2,3,-0.1,1,5,1700,1,1
"139",0,37,14.4,2,-1,1,5,1700,0,0
"141",0.14,22,9.21,2,-0.7,1,5,1700,0,0
"142",5.09,67,93.3,4,-1.3,1,2,1700,1,1
"143",1.06,37,23.9,3,0.7,1,9,1700,0,0
"144",0.16,38,5.58,2,1,1,2,1700,0,0
"145",0.55,68,0.52,1,1.2,1,5,1700,1,1
"147",0,45,4.82,2,0.3,1,9,1700,0,0
"148",0.42,31,13.1,2,2.1,1,5,1700,0,0
"150",0.69,38,7.31,2,0.7,1,5,1700,0,0
"151",4.9,68,8.33,2,0.5,1,2,1700,1,1
"153",3.07,66,13.8,2,-0.8,1,9,1700,1,0
"154",0.02,33,15.9,4,-1,1,9,1700,0,0
"155",0.74,58,14.3,2,0.4,1,2,1700,0,0
"156",0.73,29,22.2,3,0.7,1,9,1700,1,0
"157",0.02,47,17.3,4,0.5,1,9,1700,0,0
"158",0,46,1.76,1,0.4,1,5,1700,0,0
"160",3.54,68,16.3,4,0.2,1,5,1700,1,1
"161",1.27,42,25.7,4,0.4,1,9,1700,0,0
"162",4.91,69,75.9,4,-0.5,1,9,1700,1,1
"163",1.88,54,49.6,4,-0.7,1,9,1700,0,0
"165",0.2,34,17.6,4,-0.9,1,9,1700,0,0
"167",0.87,41,15.2,4,-0.2,1,5,1700,0,0
"169",0.4,39,1.03,1,0.3,2,5,1700,0,0
"170",0,38,14.1,2,-1,1,9,1700,0,0
"171",0.74,58,13.8,2,0.4,1,2,22000,0,0
"172",0.73,29,23.9,3,0.7,1,9,22000,1,1
"174",0.02,33,16.8,4,-1,1,9,22000,0,0
"175",5.09,67,138,4,-1.3,1,2,22000,1,1
"176",4.9,68,8.33,2,0.5,1,2,22000,1,1
"178",4.91,69,99.5,4,-0.5,1,9,22000,1,1
"180",1.88,54,59.9,4,-0.7,1,9,22000,0,0
"181",1.06,37,23.1,4,0.7,1,9,22000,0,0
"184",1.27,42,27.3,4,0.4,1,9,22000,0,0
"185",0.2,34,18.6,4,-0.9,1,9,22000,0,0
"188",0.16,38,5.58,2,1,1,2,22000,1,0
"189",0,47,2.57,2,-0.6,2,8,13200,0,0
"190",4.01,67,0.93,1,-0.6,2,8,13200,1,1
"191",0,39,1.29,1,-1.1,2,8,13200,0,0
"192",0.11,30,6.3,2,-0.7,2,8,13200,0,0
"193",0,50,0.75,1,-0.3,2,8,13200,0,0
"194",2.28,68,18.7,4,0.4,2,8,13200,0,0
"195",0.02,37,1.71,1,0.1,1,8,13200,0,0
"197",0,50,0,1,-0.4,1,8,13200,1,0
"198",2.06,72,1.98,1,-0.3,1,8,13200,1,1
"199",0.25,2,2.13,2,-0.5,2,8,13200,0,0
"200",0,49,0,1,0.2,1,8,13200,1,1
"201",3.7,56,8.11,2,0.2,2,8,13200,1,1
"202",0.15,14,3.48,2,0.6,2,8,13200,0,0
"203",2.54,30,9.52,2,0.5,2,8,13200,0,0
"204",3.57,71,0.59,1,1.9,2,8,13200,0,0
"205",0.55,27,14,2,2.6,2,8,13200,0,0
"206",0.42,37,15.5,4,2.1,2,8,13200,0,0
"207",0,44,1.21,1,0.4,1,8,13200,0,0
"209",1.05,46,14.4,2,-0.2,2,8,13200,0,0
"210",0.4,54,1.35,1,0.3,1,8,13200,0,0
"211",1.32,59,19.7,4,-0.1,1,8,13200,1,1
"212",0.13,42,9.83,2,-0.8,1,8,13200,0,0
"213",0,49,1.69,1,-0.2,2,8,13200,0,0
"214",3.72,70,15.2,4,0.2,1,8,13200,1,1
"215",1.49,29,20.9,4,0.9,1,8,13200,0,0
"216",0.25,25,19.7,4,0.7,2,8,13200,0,0
"219",1.55,38,29.1,4,0.5,1,8,13200,0,0
"220",0,41,8.84,2,-0.1,1,8,13200,0,0
"221",4.69,66,40.8,4,-0.6,1,8,13200,1,1
"222",0.21,38,3.06,2,-1.3,1,8,13200,1,0
"223",1.21,20,20.8,4,-0.9,1,8,13200,0,0
"224",0,42,0.5,1,-0.5,1,8,13200,0,0
"225",4.91,69,62.3,4,-0.5,1,8,13200,1,1
"226",0,39,8.22,2,-1,1,8,13200,0,0
"227",0.02,36,18.7,4,-0.9,1,8,13200,0,0
"229",3.48,63,11.2,2,0.1,1,2,1700,1,1
"231",0.56,14,5.47,2,-0.4,1,2,1700,1,0
"232",0.74,58,14.3,2,0.4,1,2,1700,0,0
"233",0.41,9,5.72,2,0.6,1,2,1700,1,1
"234",0,46,2.27,2,-0.6,1,2,1700,0,0
"236",3.79,32,13.8,2,1.5,1,2,1700,1,0
"237",1.77,38,1.22,1,-0.3,1,2,1700,0,0
"238",5.09,67,102,4,-1.3,1,2,1700,1,1
"240",0.55,40,7.66,2,-0.6,1,2,1700,0,0
"241",0.16,38,5.58,2,1,1,2,1700,0,0
"242",0.42,46,4.79,2,-0.3,1,2,1700,0,0
"243",4.9,68,8.33,2,0.5,1,2,1700,1,1
