
 Tumacacori NM 

   Date, Precipitation (in), Tmax (F), Tmin (F), Snow Depth On Ground (Inches),

  01/01/2009, 0.0, 75.0, 32.0, 0.0,
   01/02/2009, 0.0, 72.0, 32.0, 0.0,
   01/03/2009, 0.0, 71.0, 35.0, 0.0,
   01/04/2009, 0.0, 65.0, 46.0, 0.0,
   01/05/2009, 0.3, 54.0, 40.0, 0.0,
   01/06/2009, 0.0, 54.0, 28.0, 0.0,
   01/07/2009, 0.0, 54.0, 25.0, 0.0,
   01/08/2009, 0.0, 61.0, 28.0, 0.0,
   01/09/2009, 0.0, 72.0, 31.0, 0.0,
   01/10/2009, 0.0, 70.0, 24.0, 0.0,
   01/11/2009, 0.0, 62.0, 23.0, 0.0,
   01/12/2009, 0.0, 64.0, 26.0, 0.0,
   01/13/2009, 0.0, 68.0, 29.0, 0.0,
   01/14/2009, 0.0, 70.0, 26.0, 0.0,
   01/15/2009, 0.0, 71.0, 30.0, 0.0,
   01/16/2009, 0.0, 75.0, 34.0, 0.0,
   01/17/2009, 0.0, 76.0, 36.0, 0.0,
   01/18/2009, 0.0, 76.0, 39.0, 0.0,
   01/19/2009, 0.0, 77.0, 43.0, 0.0,
   01/20/2009, 0.0, 78.0, 43.0, 0.0,
   01/21/2009, 0.0, 80.0, 54.0, 0.0,
   01/22/2009, 0.08, 77.0, 52.0, 0.0,
   01/23/2009, 0.06, 62.0, 53.0, 0.0,
   01/24/2009, 0.11, 67.0, 43.0, 0.0,
   01/25/2009, 0.0, 69.0, 38.0, 0.0,
   01/26/2009, 0.0, 72.0, 38.0, 0.0,
   01/27/2009, 0.0, 63.0, 24.0, 0.0,
   01/28/2009, 0.0, 52.0, 23.0, 0.0,
   01/29/2009, 0.0, 61.0, 24.0, 0.0,
   01/30/2009, 0.0, 68.0, 35.0, 0.0,
   01/31/2009, 0.0, 72.0, 33.0, 0.0,
   02/01/2009, 0.0, 73.0, 30.0, 0.0,
   02/02/2009, 0.0, 70.0, 28.0, 0.0,
   02/03/2009, 0.0, 71.0, 29.0, 0.0,
   02/04/2009, 0.0, 77.0, 35.0, 0.0,
   02/05/2009, 0.0, 79.0, 30.0, 0.0,
   02/06/2009, 0.0, 80.0, 42.0, 0.0,
   02/07/2009, 0.0, 73.0, 36.0, 0.0,
   02/08/2009, 0.2, 68.0, 40.0, 0.0,
   02/09/2009, 0.05, 52.0, 38.0, 0.0,
   02/10/2009, 0.23, 57.0, 35.0, 0.0,
   02/11/2009, 0.0, 50.0, 25.0, 0.0,
   02/12/2009, 0.0, 68.0, 24.0, 0.0,
   02/13/2009, 0.0, 64.0, 26.0, 0.0,
   02/14/2009, 0.0, 65.0, 27.0, 0.0,
   02/15/2009, 0.0, 61.0, 29.0, 0.0,
   02/16/2009, 0.0, 64.0, 28.0, 0.0,
   02/17/2009, 0.0, 70.0, 40.0, 0.0,
   02/18/2009, 0.0, 60.0, 29.0, 0.0,
   02/19/2009, 0.0, 61.0, 26.0, 0.0,
   02/20/2009, 0.0, 71.0, 32.0, 0.0,
   02/21/2009, 0.0, 75.0, 32.0, 0.0,
   02/22/2009, 0.0, 79.0, 32.0, 0.0,
   02/23/2009, 0.0, 81.0, 51.0, 0.0,
   02/24/2009, 0.0, 89.0, 44.0, 0.0,
   02/25/2009, 0.0, 83.0, 49.0, 0.0,
   02/26/2009, 0.0, 86.0, 41.0, 0.0,
   02/27/2009, 0.0, 79.0, 36.0, 0.0,
   02/28/2009, 0.0, 78.0, 35.0, 0.0,
   03/01/2009, 0.0, 83.0, 48.0, 0.0,
   03/02/2009, 0.0, 87.0, 44.0, 0.0,
   03/03/2009, 0.0, 91.0, 43.0, 0.0,
   03/04/2009, 0.0, 87.0, 47.0, 0.0,
   03/05/2009, 0.0, 79.0, 49.0, 0.0,
   03/06/2009, 0.0, 79.0, 47.0, 0.0,
   03/07/2009, 0.0, 71.0, 38.0, 0.0,
   03/08/2009, 0.0, 70.0, 35.0, 0.0,
   03/09/2009, 0.06, 71.0, 48.0, 0.0,
   03/10/2009, 0.0, 67.0, 37.0, 0.0,
   03/11/2009, 0.0, 70.0, 37.0, 0.0,
   03/12/2009, 0.0, 73.0, 36.0, 0.0,
   03/13/2009, 0.0, 71.0, 35.0, 0.0,
   03/14/2009, 0.0, 68.0, 32.0, 0.0,
   03/15/2009, 0.0, 65.0, 33.0, 0.0,
   03/16/2009, 0.0, 71.0, 33.0, 0.0,
   03/17/2009, 0.0, 79.0, 36.0, 0.0,
   03/18/2009, 0.0, 83.0, 39.0, 0.0,
   03/19/2009, 0.0, 86.0, 41.0, 0.0,
   03/20/2009, 0.0, 87.0, 47.0, 0.0,
   03/21/2009, 0.0, 83.0, 45.0, 0.0,
   03/22/2009, 0.0, 82.0, 52.0, 0.0,
   03/23/2009, 0.0, 78.0, 38.0, 0.0,
   03/24/2009, 0.0, 68.0, 28.0, 0.0,
