OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00700621,Sample-Routine,Water,Surface Water,7/12/2007,14:50:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575493,,,Escherichia coli,,2400,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00700591,Sample-Routine,Water,Surface Water,6/19/2007,15:36:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575373,,,Escherichia coli,,140,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00700646,Sample-Routine,Water,Surface Water,9/28/2007,7:35:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575595,,,Escherichia coli,,580,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00800503,Sample-Routine,Water,Surface Water,11/14/2007,9:25:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313436111025101,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575663,,,Escherichia coli,,70,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00800487,Sample-Routine,Water,Surface Water,10/3/2007,8:05:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313413111024400,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575599,Present Above Quantification Limit,,Escherichia coli,,,,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,Upper Reporting Limit,2400,MPN/100 ml,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00800515,Sample-Routine,Water,Surface Water,12/13/2007,13:05:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313413111024400,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575711,,,Escherichia coli,,9100,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,sample was diluted,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00700589,Sample-Routine,Water,Surface Water,6/15/2007,15:20:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575365,,,Escherichia coli,,180,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00800496,Sample-Routine,Water,Surface Water,10/29/2007,8:42:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575635,,,Escherichia coli,,140,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00700606,Sample-Routine,Water,Surface Water,7/3/2007,8:00:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575433,,,Escherichia coli,,730,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00800509,Sample-Routine,Water,Surface Water,11/1/2007,8:30:00,MST,,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,,Not applicable,Not applicable,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-103575687,,,Escherichia coli,,73000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,sample was diluted,,,,,,,NWIS
