ResultAnalyticalMethod.MethodName,StandardMethod
"[1] ""E coli, water, Colilert (24-28)""                      ",9223B
" [2] ""E coli, modified m-TEC MF method""                     ",1603
" [3] ""FIELD""                                                ",Unknown
" [4] """"                                                     ",Unknown
" [5] ""FIELD PARAMETERS""                                     ",Unknown
" [6] ""COLILERT (EDBERG)""                                    ",9223B
" [7] ""E.COLI MODIFIED MTEC""                                 ",1603
" [8] ""EPA 1603""                                             ",1603
" [9] ""COLILERT""                                             ",9223B
"[10] ""UNKNOWN""                                              ",Unknown
"[11] ""SM 9221F""                                             ",9221F
"[12] ""SM 9223B""                                             ",9223B
"[13] ""COLIFORM""                                             ",Unknown
"[14] ""Coliform/E. coli Enzyme substrate test; ONPG-MUG test""",1603
