OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ActivityLocation/SourceMapScaleNumeric,ActivityLocation/HorizontalAccuracyMeasure/MeasureValue,ActivityLocation/HorizontalAccuracyMeasure/MeasureUnitCode,ActivityLocation/HorizontalCollectionMethodName,ActivityLocation/HorizontalCoordinateReferenceSystemDatumName,AssemblageSampledName,CollectionDuration/MeasureValue,CollectionDuration/MeasureUnitCode,SamplingComponentName,SamplingComponentPlaceInSeriesNumeric,ReachLengthMeasure/MeasureValue,ReachLengthMeasure/MeasureUnitCode,ReachWidthMeasure/MeasureValue,ReachWidthMeasure/MeasureUnitCode,PassCount,NetTypeName,NetSurfaceAreaMeasure/MeasureValue,NetSurfaceAreaMeasure/MeasureUnitCode,NetMeshSizeMeasure/MeasureValue,NetMeshSizeMeasure/MeasureUnitCode,BoatSpeedMeasure/MeasureValue,BoatSpeedMeasure/MeasureUnitCode,CurrentSpeedMeasure/MeasureValue,CurrentSpeedMeasure/MeasureUnitCode,ToxicityTestType,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodQualifierTypeName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,SampleCollectionMethod/SampleCollectionEquipmentCommentText,SamplePreparationMethod/MethodIdentifier,SamplePreparationMethod/MethodIdentifierContext,SamplePreparationMethod/MethodName,SamplePreparationMethod/MethodQualifierTypeName,SamplePreparationMethod/MethodDescriptionText,SampleContainerTypeName,SampleContainerColorName,ChemicalPreservativeUsedName,ThermalPreservativeUsedName,SampleTransportStorageDescription,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassDescriptorCode,FrequencyClassDescriptorUnitCode,LowerClassBoundValue,UpperClassBoundValue,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationMethod/MethodIdentifier,LabSamplePreparationMethod/MethodIdentifierContext,LabSamplePreparationMethod/MethodName,LabSamplePreparationMethod/MethodQualifierTypeName,LabSamplePreparationMethod/MethodDescriptionText,PreparationStartDate,PreparationStartTime/Time,PreparationStartTime/TimeZoneCode,PreparationEndDate,PreparationEndTime/Time,PreparationEndTime/TimeZoneCode,SubstitutionDilutionFactorNumeric,ProviderName
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00900587,Sample-Routine,Water,Surface Water,2009-09-15,14:15:00,MST,,,,,,,,,,,,,U.S. National Park Service,USGS-313413111024400,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,Escherichia coli,,120,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01000511,Sample-Routine,Water,Surface Water,2009-10-23,10:10:00,MST,,,,,,,,,,,,,U.S. National Park Service,USGS-313413111024400,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,Escherichia coli,,74,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00900585,Sample-Routine,Water,Surface Water,2009-09-08,08:18:00,MST,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,Escherichia coli,,6000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,sample was diluted,,,,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00900578,Quality Control Sample-Field Replicate,Water,Surface Water,2009-08-04,12:00:00,MST,,,,,,,,,,,,,U.S. National Park Service,USGS-313343110024701,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,Escherichia coli,,39000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,sample was diluted,,,,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00900570,Sample-Routine,Water,Surface Water,2009-07-01,08:23:00,MST,,,,,,,,,,,,,U.S. National Park Service,USGS-313413111024400,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,Escherichia coli,,160000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,sample was diluted,,,,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00900589,Sample-Routine,Water,Surface Water,2009-09-22,11:02:00,MST,,,,,,,,,,,,,U.S. National Park Service,USGS-313436111025101,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,Present Above Quantification Limit,,Escherichia coli,,,,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,Upper Reporting Limit,2400,MPN/100 ml,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00900583,Quality Control Sample-Field Replicate,Water,Surface Water,2009-09-01,11:35:00,MST,,,,,,,,,,,,,U.S. National Park Service,USGS-313436111025101,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,Escherichia coli,,410,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,sample was diluted,,,,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00900573,Sample-Routine,Water,Surface Water,2009-07-08,08:21:00,MST,,,,,,,,,,,,,U.S. National Park Service,USGS-313413111024400,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,Escherichia coli,,14000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,sample was diluted,,,,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.00900579,Sample-Routine,Water,Surface Water,2009-08-17,08:30:00,MST,,,,,,,,,,,,,U.S. National Park Service,USGS-313436111025101,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,Escherichia coli,,31000,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,sample was diluted,,,,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.01000514,Sample-Routine,Water,Surface Water,2009-11-05,12:20:00,MST,,,,,,,,,,,,,U.S. National Park Service,USGS-313436111025101,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,USGS parameter code 82398,Grab sample  (dip),,,Grab sample,,,,,,,,,,,,,,,Escherichia coli,,120,MPN/100 ml,,Accepted,,Actual,,,,,,,,,,,50468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAC14,USGS,"E coli, water, Colilert (24-28)",,Standard Methods,U.S. National Park Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS
